name,date,open,max,min,close,adjclose,volume
Arroz,31/03/2021,12.880,13.000,12.880,12.945,12.945,319
Arroz,30/03/2021,1327.000,1330.000,1317.000,1322.000,1322.000,190
Arroz,29/03/2021,1308.500,1330.000,1307.000,1326.500,1326.500,190
Arroz,26/03/2021,1312.500,1319.000,1308.000,1308.500,1308.500,170
Arroz,25/03/2021,1331.000,1338.500,1314.000,1315.000,1315.000,318
Arroz,24/03/2021,1319.000,1345.000,1319.000,1339.500,1339.500,405
Arroz,23/03/2021,1323.000,1326.000,1312.000,1321.000,1321.000,145
Arroz,22/03/2021,1316.000,1323.000,1313.000,1321.500,1321.500,188
Arroz,19/03/2021,1302.500,1315.500,1302.000,1314.500,1314.500,201
Arroz,18/03/2021,1318.000,1320.000,1299.000,1303.000,1303.000,341
Arroz,17/03/2021,1304.500,1321.500,1300.000,1321.500,1321.500,244
Arroz,16/03/2021,1293.500,1308.000,1293.000,1301.000,1301.000,224
Arroz,15/03/2021,1299.000,1301.000,1292.500,1294.000,1294.000,333
Arroz,12/03/2021,1277.500,1277.500,1277.500,1277.500,1277.500,430
Arroz,11/03/2021,1277.000,1277.000,1277.000,1277.000,1277.000,19
Arroz,10/03/2021,1275.500,1275.500,1275.500,1275.500,1275.500,24
Arroz,09/03/2021,1291.500,1291.500,1291.500,1291.500,1291.500,14
Arroz,08/03/2021,1297.000,1297.000,1297.000,1297.000,1297.000,2
Arroz,05/03/2021,1294.500,1294.500,1294.500,1294.500,1294.500,2
Arroz,04/03/2021,1318.500,1321.000,1307.500,1307.500,1307.500,33
Arroz,03/03/2021,1299.500,1318.000,1299.500,1316.500,1316.500,47
Arroz,02/03/2021,1278.500,1305.500,1275.500,1305.500,1305.500,37
Arroz,01/03/2021,1279.500,1280.000,1279.500,1279.500,1279.500,5
Arroz,26/02/2021,1281.000,1282.000,1270.000,1275.000,1275.000,45
Arroz,25/02/2021,1282.500,1291.000,1275.000,1280.500,1280.500,140
Arroz,24/02/2021,1283.500,1294.000,1283.000,1287.000,1287.000,272
Arroz,23/02/2021,1284.500,1290.500,1282.000,1283.500,1283.500,631
Arroz,22/02/2021,1287.500,1291.000,1280.500,1289.000,1289.000,1361
Arroz,19/02/2021,1275.500,1295.500,1268.500,1287.000,1287.000,1503
Arroz,18/02/2021,1269.000,1276.000,1265.000,1273.000,1273.000,960
Arroz,17/02/2021,1271.000,1275.500,1260.500,1274.500,1274.500,673
Arroz,16/02/2021,1281.500,1285.000,1261.500,1271.500,1271.500,1078
Arroz,12/02/2021,1289.000,1291.000,1280.500,1281.000,1281.000,769
Arroz,11/02/2021,1288.000,1291.000,1281.000,1289.000,1289.000,834
Arroz,10/02/2021,1291.000,1297.000,1284.500,1288.000,1288.000,677
Arroz,09/02/2021,1304.500,1304.500,1284.000,1291.500,1291.500,843
Arroz,08/02/2021,1300.000,1310.000,1296.500,1297.000,1297.000,429
